QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
<Method>com.puppycrawl.tools.checkstyle.DefaultContext.public get( String ): Object,get( String ): Object,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,1
<Method>com.puppycrawl.tools.checkstyle.DefaultContext.public getAttributeNames( ): ImmutableCollection,getAttributeNames( ): ImmutableCollection,low,low,low,low,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,2,1
<Field>com.puppycrawl.tools.checkstyle.DefaultContext->entries,final entries : Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.puppycrawl.tools.checkstyle.DefaultLogger,DefaultLogger,low-medium,low,low-medium,low,4,18,8,2,0,14,61,55,5,0,10,0,0,0.667,0.6,0.75,1,0,,,,,61,,,,,,14,,,,,,,
"<Method>com.puppycrawl.tools.checkstyle.DefaultLogger.public DefaultLogger( OutputStream, boolean ): void","DefaultLogger( OutputStream, boolean ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,0,0
"<Method>com.puppycrawl.tools.checkstyle.DefaultLogger.public DefaultLogger( OutputStream, boolean, OutputStream, boolean ): void","DefaultLogger( OutputStream, boolean, OutputStream, boolean ): void",low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,4,0,0
"<Method>com.puppycrawl.tools.checkstyle.DefaultLogger.public DefaultLogger( OutputStream, boolean, OutputStream, boolean, AuditEventFormatter ): void","DefaultLogger( OutputStream, boolean, OutputStream, boolean, AuditEventFormatter ): void",low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,16,5,0,7
<Method>com.puppycrawl.tools.checkstyle.DefaultLogger.public addError( AuditEvent ): void,addError( AuditEvent ): void,low,low,low,low,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,6,1,3,2
"<Method>com.puppycrawl.tools.checkstyle.DefaultLogger.public addException( AuditEvent, Throwable ): void","addException( AuditEvent, Throwable ): void",low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,2,3,3
<Method>com.puppycrawl.tools.checkstyle.DefaultLogger.public auditFinished( AuditEvent ): void,auditFinished( AuditEvent ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,1,2,1
<Method>com.puppycrawl.tools.checkstyle.DefaultLogger.public auditStarted( AuditEvent ): void,auditStarted( AuditEvent ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,1,2,2
<Method>com.puppycrawl.tools.checkstyle.DefaultLogger.private closeStreams( ): void,closeStreams( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,7,0,4,6
<Method>com.puppycrawl.tools.checkstyle.DefaultLogger.public fileFinished( AuditEvent ): void,fileFinished( AuditEvent ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,1
<Method>com.puppycrawl.tools.checkstyle.DefaultLogger.public fileStarted( AuditEvent ): void,fileStarted( AuditEvent ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,0
<Field>com.puppycrawl.tools.checkstyle.DefaultLogger->closeError,final closeError : boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
